id,created_at,text_name,latitude,longitude,is_redwood,is_fir,is_oak,is_eucalyptus,is_manzanita,is_pine,is_madrone,is_cypress,is_hardwood,is_grass,is_duff,is_rott,is_dung,is_wood_chip,grid_code,cluster
24690,2009-08-24 08:54:47,Agaricus augustus,37.76900100708008,-122.48350143432617,0,0,0,0,0,1,0,0,0,0,0,0,0,0,367_157,7
49632,2010-08-05 00:42:10,Agaricus augustus,37.76984977722168,-122.46599960327148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367_161,7
26581,2009-10-13 05:09:54,Agaricus augustus,37.124149322509766,-121.98049926757812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186_258,2
137735,2013-06-26 22:58:34,Agaricus augustus,37.79034996032715,-122.16450119018555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,373_221,5
53469,2010-09-21 23:22:12,Agaricus augustus,37.76544952392578,-122.47749710083008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366_158,7
27876,2009-11-08 01:17:04,Agaricus augustus,36.982648849487305,-121.87249755859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147_280,6
556,2006-05-21 07:35:43,Agaricus augustus,36.985450744628906,-122.0374984741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148_246,2
28644,2009-11-24 01:14:48,Agaricus augustus,37.124149322509766,-121.98049926757812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186_258,2
31430,2010-01-04 02:48:33,Agaricus augustus,37.55139923095703,-122.33499908447266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306_187,8
178087,2014-09-13 15:40:55,Agaricus augustus,36.995399475097656,-122.04299926757812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150_245,2
72344,2011-07-21 03:54:35,Agaricus augustus,37.55139923095703,-122.33499908447266,0,0,0,0,0,0,0,1,0,0,0,0,0,0,306_187,8
74559,2011-08-24 06:26:43,Agaricus augustus,36.891849517822266,-121.71100234985352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121_312,6
81099,2011-10-31 04:16:32,Agaricus augustus,37.8755989074707,-122.24749755859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397_204,5
