id,version,"created_at","updated_at",user_id,description_id,rss_log_id,num_views,"last_view",rank,"text_name","search_name","display_name","sort_name","citation",deprecated,synonym_id,correct_spelling_id,"notes","classification",ok_for_export,"author","lifeform",locked
1,47,"2007-01-10 05:03:37","2018-08-07 18:47:24",1,2839,11340,6057,"2018-09-09 13:16:43",14,"Fungi","Fungi Bartl.","**__Fungi__** Bartl.","Fungi  Bartl.","",0,3245,NULL,"","Domain: _Eukarya_",1,"Bartl."," ",1
4,6,"2007-01-10 05:03:37","2017-12-01 19:36:41",1,NULL,182784,947,"2018-07-26 10:41:03",16,"Xylaria hypoxylon group","Xylaria hypoxylon group J.D. Rogers","**__Xylaria hypoxylon__** group J.D. Rogers","Xylaria hypoxylon   group  J.D. Rogers","Rogers, J. D. 1985. Anamorphs of Xylaria: Taxonomic considerations. Sydowia 38:255-262",0,3692,NULL,"\"Xylaria hypoxylon group. Examples are X. acuta PECK,
X. cornu-damae (SCHW.) FR., X. carpophila (PERS. : FR.) FR.,
X. digitata (L. : FR.) Grev., X. hypoxylon (L. : FR.) GREV.,
X. magnoliae ROGERS, X. mali FROMME, X. oxyacanthae TUL.,
--X. persicaria (SCHW. : FR.) BERK. & CURT.-- + **X. liquidambaris** 
Some of these species can be separated on conidial and cultural
features (CHACKO & ROGERS, 1981; ROE, 1974; ROGERS, 1983;
1984 a; 1984 b; STOWELL & ROGERS, 1983).\"

NOTE: _X. persicaria_ replaced with _X. liquidambaris_ at Dr. Rogers' direction

-Rogers, J. D. 1985. Anamorphs of Xylaria: Taxonomic considerations. Sydowia 38:255-262. (\"PDF\":http://www.zobodat.at/pdf/Sydowia_38_0255-0262.pdf)","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Ascomycota_
Class: _Sordariomycetes_
Order: _Xylariales_
Family: _Xylariaceae_",1,"J.D. Rogers"," ",0
5,7,"2007-01-10 05:03:37","2018-02-04 16:40:56",1,4954,21994,856,"2018-09-08 17:38:25",9,"Xeromphalina","Xeromphalina Kühner & Maire","**__Xeromphalina__** Kühner & Maire","Xeromphalina  Kühner & Maire","Konrad, P.; Maublanc, A. 1937. Icones Selectae Fungorum. 6:1-558",0,6577,NULL,"http://www.indexfungorum.org/names/NamesRecord.asp?RecordID=18765
http://mycobank.org/BioloMICS.aspx?Table=Mycobank&Rec=57639&Fields=All","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Typhulaceae_",1,"Kühner & Maire"," ",0
6,3,"2007-01-10 05:03:37","2012-01-27 02:34:28",1,NULL,94225,241,"2018-06-22 15:44:16",4,"Xerocomus zelleri","Xerocomus zelleri Murrill","__Xerocomus zelleri__ Murrill","Xerocomus zelleri  Murrill",NULL,1,505,NULL,NULL,NULL,1,"Murrill"," ",0
7,4,"2007-01-10 05:03:37","2012-09-17 13:04:13",1,NULL,9502,725,"2018-08-27 21:00:50",4,"Xerocomus subtomentosus","Xerocomus subtomentosus (L.) Quél.","**__Xerocomus subtomentosus__** (L.) Quél.","Xerocomus subtomentosus  (L.) Quél.","",0,645,NULL,"",NULL,1,"(L.) Quél."," ",0
9,4,"2007-01-10 05:03:37","2012-01-05 04:13:40",1,NULL,9426,332,"2018-08-11 19:08:42",4,"Xerocomus chrysenteron","Xerocomus chrysenteron (Bull.) Quél.","__Xerocomus chrysenteron__ (Bull.) Quél.","Xerocomus chrysenteron  (Bull.) Quél.",NULL,1,504,NULL,"",NULL,1,"(Bull.) Quél."," ",0
11,2,"2007-01-10 05:03:37","2011-11-05 23:21:56",1,2265,86810,177,"2018-09-01 06:53:33",4,"Volvariella smithii","Volvariella smithii Shaffer","**__Volvariella smithii__** Shaffer","Volvariella smithii  Shaffer",NULL,0,NULL,NULL,NULL,"",1,"Shaffer"," ",0
12,8,"2007-01-10 05:03:38","2014-03-30 22:55:17",1,NULL,2103,661,"2018-08-11 15:01:40",4,"Verpa bohemica","Verpa bohemica (Krombh.) J. Schröt.","**__Verpa bohemica__** (Krombh.) J. Schröt.","Verpa bohemica  (Krombh.) J. Schröt.","_Krypt.-Fl. Schlesien_ (Breslau) 3.2(1–2): 25 (1893)",0,2545,NULL,"\"Index Fungorum record 481988\":http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=481988
\"MycoBank ==#481988==\":http://www.mycobank.org/MB/481988","Kingdom: _Fungi_
Phylum: _Ascomycota_
Class: _Ascomycetes_
Order: _Pezizales_
Family: _Morchellaceae_",1,"(Krombh.) J. Schröt."," ",0
13,5,"2007-01-10 05:03:38","2015-04-21 21:47:39",1,6,57196,612,"2018-06-22 12:52:42",13,"Myxomycota","Myxomycota","__Myxomycota__","Myx!1","",1,5178,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Amoebozoa_",1,""," ",0
15,7,"2007-01-10 05:03:38","2016-05-20 05:35:01",1,4883,43355,995,"2018-09-06 17:55:46",9,"Tremella","Tremella Pers.","**__Tremella__** Pers.","Tremella  Pers.","Pers., Neues Mag. Bot. 1: 111 (1794) / Persoon, C.H. 1794. Dispositio methodica fungorum. Neues Magazin für die Botanik. 1:81-128",0,NULL,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Tremellomycetes_
Order: _Tremellales_
Family: _Tremellaceae_",1,"Pers."," ",0
16,4,"2007-01-10 05:03:38","2009-10-01 17:17:22",1,8,2138,1271,"2018-09-06 01:00:45",4,"Panellus stipticus","Panellus stipticus (Bull.) P. Karst.","**__Panellus stipticus__** (Bull.) P. Karst.","Panellus stipticus  (Bull.) P. Karst.","Rysslands, Finlands och den Skandinaviska Halföns. Hattsvampar 14: fig. 172 (1879)",0,2663,NULL,NULL,"Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Basidiomycetes_
Order: _Agaricales_
Family: _Mycenaceae_",1,"(Bull.) P. Karst."," ",0
17,9,"2007-01-10 05:03:38","2017-08-16 04:01:25",1,NULL,43308,1599,"2018-06-22 11:53:21",10,"Polyporaceae","Polyporaceae Fr. ex Corda","__Polyporaceae__ Fr. ex Corda","Polypor!7  Fr. ex Corda","Fr. ex Corda [as 'Polyporei'], Icon. fung. (Prague) 3: 49 (1839)",1,3512,NULL,"",NULL,1,"Fr. ex Corda"," ",0
21,3,"2007-01-10 05:03:38","2013-12-07 20:57:49",1,2376,89702,432,"2018-09-05 04:04:20",4,"Tylopilus indecisus","Tylopilus indecisus (Peck) Murrill","**__Tylopilus indecisus__** (Peck) Murrill","Tylopilus indecisus  (Peck) Murrill","Mycologia 1(1): 15 (1909)",0,NULL,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Boletales_
Family: _Boletaceae_",1,"(Peck) Murrill"," ",0
24,2,"2007-01-10 05:03:38","2007-01-10 05:03:38",1,NULL,NULL,74,"2018-08-09 02:47:09",4,"Tulostoma macrocephalum","Tulostoma macrocephalum Long","**__Tulostoma macrocephalum__** Long","Tulostoma macrocephalum  Long",NULL,0,NULL,NULL,NULL,NULL,1,"Long"," ",0
25,4,"2007-01-10 05:03:38","2015-01-31 17:06:03",1,12,11461,2065,"2018-09-05 05:18:32",4,"Tricholomopsis rutilans","Tricholomopsis rutilans (Schaeff.) Singer","**__Tricholomopsis rutilans__** (Schaeff.) Singer","Tricholomopsis rutilans  (Schaeff.) Singer","Schweiz. Z. Pilzk. 17: 56 (1939)",0,4772,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Typhulaceae_",1,"(Schaeff.) Singer"," ",0
28,3,"2007-01-10 05:03:38","2017-09-03 16:09:23",1,2199,85855,658,"2018-09-05 12:09:19",4,"Tricholoma saponaceum","Tricholoma saponaceum (Fr.) P. Kumm.","**__Tricholoma saponaceum__** (Fr.) P. Kumm.","Tricholoma saponaceum  (Fr.) P. Kumm.","Führ. Pilzk. (Zwickau): 133 (1871)",0,6499,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Tricholomotaceae_",1,"(Fr.) P. Kumm."," ",0
31,3,"2007-01-10 05:03:38","2013-03-02 01:05:20",1,NULL,64396,363,"2018-08-30 07:48:21",4,"Tricholoma intermedium","Tricholoma intermedium Peck","**__Tricholoma intermedium__** Peck","Tricholoma intermedium  Peck","Ann. Rep. N.Y. St. Mus. 41: 60 (1888)",0,391,NULL,"",NULL,1,"Peck"," ",0
32,3,"2007-01-10 05:03:38","2013-03-05 16:52:42",1,2404,89837,844,"2018-09-09 15:43:55",4,"Tricholoma focale","Tricholoma focale (Fr.) Ricken","**__Tricholoma focale__** (Fr.) Ricken","Tricholoma focale  (Fr.) Ricken","Die Blätterpilze: 332 (1914)",0,395,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Tricholomataceae_",1,"(Fr.) Ricken"," ",0
33,8,"2007-01-10 05:03:38","2014-02-14 02:32:27",1,1844,52847,898,"2018-08-30 07:48:16",4,"Tricholoma flavovirens","Tricholoma flavovirens (Pers.) S. Lundell","__Tricholoma flavovirens__ (Pers.) S. Lundell","Tricholoma flavovirens  (Pers.) S. Lundell","in Lundell & Nannfeldt, _Fungi Exsiccati Suecici_ 23-24: no. 1102 (1942)",1,390,NULL,"\"Index Fungorum record 340316\":http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=340316
\"MycoBank record 340316\":http://www.mycobank.org/MB/340316

Both \"Index Fungorum\":http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=340316 and \"MycoBank\":http://www.mycobank.org/MB/340316 (both checked 13 Feb 2014) say that the current name is _Tricholoma equestre_.  Also see Nathan Wilson's Comment below.","",1,"(Pers.) S. Lundell"," ",0
34,3,"2007-01-10 05:03:39","2013-12-24 23:32:06",1,2407,89841,457,"2018-09-07 22:18:05",4,"Tricholoma aurantium","Tricholoma aurantium (Schaeff.) Ricken","**__Tricholoma aurantium__** (Schaeff.) Ricken","Tricholoma aurantium  (Schaeff.) Ricken","Die Blätterpilze: 332 (1914)",0,4280,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Tricholomataceae_",1,"(Schaeff.) Ricken"," ",0
35,3,"2007-01-10 05:03:39","2013-03-11 18:25:13",1,NULL,147235,325,"2018-07-28 19:30:30",4,"Tricholoma atrosquamosum","Tricholoma atrosquamosum Sacc.","**__Tricholoma atrosquamosum__** Sacc.","Tricholoma atrosquamosum  Sacc.","Syll. fung. (Abellini) 5: 104 (1887)",0,NULL,NULL,"",NULL,1,"Sacc."," ",0
37,3,"2007-01-10 05:03:39","2016-06-09 16:36:26",1,NULL,179307,601,"2018-09-05 01:57:08",4,"Trichoglossum hirsutum","Trichoglossum hirsutum (Pers.) Boud.","**__Trichoglossum hirsutum__** (Pers.) Boud.","Trichoglossum hirsutum  (Pers.) Boud.","Hist. Class. Discom. Eur. (Paris): 86 (1907)",0,5861,NULL,"",NULL,1,"(Pers.) Boud."," ",0
40,5,"2007-01-10 05:03:39","2008-03-01 23:50:22",1,NULL,2944,2094,"2018-09-06 06:54:21",4,"Tremella mesenterica","Tremella mesenterica Retz.","**__Tremella mesenterica__** Retz.","Tremella mesenterica  Retz.","K. svenska Vetensk-Akad. Handl. 30: 249",0,385,NULL,"__Tremella mesenterica__ parasitizes __Peniophora__.  It has often been reported as parasitizes __Stereum__, but it turns out that is \"__T. aurantia__\":http://mushroomobserver.org/observer/show_name/5422.

<br/>Based on Peter Roberts article (see below), \"microscopically, __Tremella aurantia__ can be distinguished from __T. mesenterica__ by its smaller more subglobose spores, smaller basidia, and the presence of unclamped host hyphae in the subhymenium and context.  The hymenimum is normally covered by a thick muscous layer full of basidiospores and yeast-like conidia, which presumably is why the surface of the fruit body appears matt and often pruinose.\"  He also notes that macroscopically in general __T. aurantia__ is more matte and __T. mesenterica__ is more glossy.

<br/>Here's the spore size info from the paper: __T. aurantia__ (Q = 1.1-1.4), 5.5-9.0 x 4.5-7.0 µm.  __T. mesenterica__ (Q = 1.2-1.8), (8.0-) 10.0-16.0 (-18.0) x 6.0-9.5 (-12.0) µm.

<br/>This distinction was brought to my attention by Else Vellinga who provided the follow references.

<br/>Peter Roberts from Kew Gardens has written several articles on __Tremella__ in Britain:

<br/>1995: British __Tremella__ species I. __Tremella aurantia__ and __T. mesenterica__. Mycologist 9: 110-114.

1999. British __Tremella__ species II. __Tremella encephala__, __T. steidleri__, and __T. foliacea__. Mycologist 13: 127-131.

2001. British __Tremella__ species III. __Tremella callunicola__ sp. nov., __T. invasa__, __T. sarniensis__ sp. nov., __T. simplex__, & __T. versicolor__. Mycologist 15: 146-150.

2007. British __Tremella__ species IV. __Tremella obscura__, __T. penetrans__, __T. giraffa__ & __T. polyporina__. Field Mycology 8: 127-133.

<br/>the first one treats the species we see: __Tremella mesenterica__ parasitizes __Peniophora__ species, __T. aurantia__ is growing on __Stereum__.",NULL,1,"Retz."," ",0
41,4,"2007-01-10 05:03:39","2016-06-10 20:21:21",1,NULL,181997,1032,"2018-09-06 22:37:15",4,"Tremella foliacea","Tremella foliacea Pers.","__Tremella foliacea__ Pers.","Tremella foliacea  Pers.","Observ. mycol. (Lipsiae) 2: 98 (1800) [1799]",1,5512,NULL,"",NULL,1,"Pers."," ",0
42,6,"2007-01-10 05:03:39","2018-03-29 22:45:09",1,15,38733,4249,"2018-09-07 11:33:29",4,"Trametes versicolor","Trametes versicolor (L.) Lloyd","**__Trametes versicolor__** (L.) Lloyd","Trametes versicolor  (L.) Lloyd","Mycol. Notes (Cincinnati) 65: 1045 (1921) [1920]",0,4152,NULL,"Basionym: Boletus versicolor L., Sp. pl. 2: 1176 (1753)","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycetes_
Class: _Agaricomycetes_
Order: _Polyporales_
Family: _Polyporaceae_
",1,"(L.) Lloyd"," ",0
43,5,"2007-01-10 05:03:39","2016-08-25 20:09:36",1,17,22392,928,"2018-08-23 12:54:30",4,"Suillus tomentosus","Suillus tomentosus (Kauffman) Singer","**__Suillus tomentosus__** (Kauffman) Singer","Suillus tomentosus  (Kauffman) Singer","\"_Mycologia_ 51(4): 570\":http://www.librifungorum.org/Image.asp?ItemID=386&ImageFileName=004/0570b.jpg (1960) [1959]",0,3024,NULL,"Type: Colorado","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Boletales_
Family: _Boletaceae_",1,"(Kauffman) Singer"," ",0
44,2,"2007-01-10 05:03:39","2008-02-11 03:03:13",1,NULL,NULL,623,"2018-09-06 10:16:02",4,"Suillus ponderosus","Suillus ponderosus A.H. Sm. & Thiers","**__Suillus ponderosus__** A.H. Sm. & Thiers","Suillus ponderosus  A.H. Sm. & Thiers","A Contribution Toward a Monograph of North American Species of Suillus, p. 38, pl. 11. 1964.",0,NULL,NULL,"Closely related to \"__Suillus caerulescens__\":http://mushroomobserver.org/name/show_name/47 which has a white veil and more fibrils on the cap and is less viscid.  __S. ponderosus__ has a yellow to orange veil.  Tom Bruns mentioned in a talk at SOMA Camp 2008 that molecularly they are very close, but reliably distinguishable as separate species.",NULL,1,"A.H. Sm. & Thiers"," ",0
45,3,"2007-01-10 05:03:39","2012-04-10 03:43:59",1,2390,89740,900,"2018-08-29 18:10:20",4,"Suillus lakei","Suillus lakei (Murrill) A.H. Sm. & Thiers","**__Suillus lakei__** (Murrill) A.H. Sm. & Thiers","Suillus lakei  (Murrill) A.H. Sm. & Thiers","Monogr. North Amer. Species Suillus: 34 (1964)",0,2565,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Boletales_
Family: _Boletaceae_",1,"(Murrill) A.H. Sm. & Thiers"," ",0
46,3,"2007-01-10 05:03:40","2013-03-02 04:33:12",1,NULL,146694,445,"2018-07-30 05:00:58",4,"Suillus fuscotomentosus","Suillus fuscotomentosus Thiers & A.H. Sm.","**__Suillus fuscotomentosus__** Thiers & A.H. Sm.","Suillus fuscotomentosus  Thiers & A.H. Sm.","Monogr. North Amer. Species Suillus: 65 (1964)",0,NULL,NULL,"",NULL,1,"Thiers & A.H. Sm."," ",0
47,2,"2007-01-10 05:03:40","2013-12-29 02:45:35",1,2392,89745,769,"2018-08-15 03:05:57",4,"Suillus caerulescens","Suillus caerulescens A.H. Sm. & Thiers","**__Suillus caerulescens__** A.H. Sm. & Thiers","Suillus caerulescens  A.H. Sm. & Thiers","A Contribution Toward a Monograph of North American Species of Suillus, p. 38, pl. 11. 1964.",0,NULL,NULL,"Closely related to \"__Suillus ponderosus__\":http://mushroomobserver.org/name/show_name/44 which has a yellow to orange veil and a smoother, more viscid pileus.  __S. caerulescens__ has a white veil.  Tom Bruns mentioned in a talk at SOMA Camp 2008 that molecularly the two species are very close, but reliably distinguishable as separate species.","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Boletales_
Family: _Boletaceae_",1,"A.H. Sm. & Thiers"," ",0
48,4,"2007-01-10 05:03:40","2012-04-10 03:44:50",1,20,22361,814,"2018-09-06 02:09:15",4,"Suillus brevipes","Suillus brevipes (Peck) Kuntze","**__Suillus brevipes__** (Peck) Kuntze","Suillus brevipes  (Peck) Kuntze","Revis. gen. pl. (Leipzig) 3(2): 535 (1898)",0,NULL,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Boletales_
Family: _Boletaceae_",1,"(Peck) Kuntze"," ",0
49,10,"2007-01-10 05:03:40","2010-11-07 17:41:17",1,NULL,39744,524,"2018-09-09 09:01:29",4,"Stropharia umbonatescens","Stropharia umbonatescens (Peck) Sacc.","__Stropharia umbonatescens__ (Peck) Sacc.","Stropharia umbonatescens  (Peck) Sacc.","",1,2927,NULL,"Peter Werner who is working on his masters thesis on the Strophariaceae of California doesn't think this is really a __Stropharia__, but he hasn't looked at it closely yet.

11/.7.2010: I had previously misreported this as a _Leratiomyces_. It is not, in fact, either _Leratiomyces_ or a proper _Stropharia_, but part of the _Stropharia semiglobata_ group, a clade within the Strophariaceae who's taxonomic relationships are not entire clear. According to Clemençon & Rofler, S. luteonitens and S. umbonatescens are synonyms. That being the case, \"Agaricus luteonitens\" is the older species name and takes priority. An even older synonym, \"Agaricus nitens\" is treated as a synonym for _Stropharia semiglobata_, and hence, not valid for this species.

Reference: Heinz Clémençon and Urs Roffler. (2003). The pseudosclerotia of the agaric _Stropharia luteonitens_. Mycological Progress 2(3): 235–238. Available from: http://www.springerlink.com/content/q72q770w92w73721/

8.1.2010
Aside from this being a _Leratiomyces_, it is unclear to me whether _S. umbonatescens_ is synonymous with _S. luteonitens_ or not, and if so, which the preferred name would be...

Some links...  Not sure what to make of it all:

\"S. umbonatescens according to IndexFungorum\":http://www.indexfungorum.org/names/NamesRecord.asp?RecordID=235368
\"S. luteonitens according to SpeciesFungorum\":http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=227913
\"S. umbonatescens according to MycoBank\":http://www.mycobank.org/MycoTaxo.aspx?Link=T&Rec=235368
\"S. luteonitens according to MycoBank\":http://www.mycobank.org/MycoTaxo.aspx?Link=T&Rec=227913

~CC",NULL,1,"(Peck) Sacc."," ",0
50,2,"2007-01-10 05:03:40","2017-11-04 09:43:42",123,4841,103261,1017,"2018-09-06 13:43:28",9,"Stropharia","Stropharia (Fr.) Quél.","**__Stropharia__** (Fr.) Quél.","Stropharia  (Fr.) Quél.","Mém. Soc. Émul. Montbéliard, Sér. 2 5: 141 (1872)",0,5764,NULL,"Type species: _Stropharia aeruginosa_(Curtis) Quél. (1872)","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Strophariaceae_",1,"(Fr.) Quél."," ",0
53,4,"2007-01-10 05:03:40","2012-11-17 02:05:41",1,2353,22147,1172,"2018-09-02 06:45:44",4,"Stropharia ambigua","Stropharia ambigua (Peck) Zeller","**__Stropharia ambigua__** (Peck) Zeller","Stropharia ambigua  (Peck) Zeller","Mycologia 6(3): 144 (1914)",0,NULL,NULL,"","Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Basidiomycetes_
Order: _Agaricales_
Family: _Strophariaceae_",1,"(Peck) Zeller"," ",0
54,3,"2007-01-10 05:03:40","2013-12-08 15:06:19",1,NULL,175633,466,"2018-08-21 17:29:23",4,"Strobilurus trullisatus","Strobilurus trullisatus (Murrill) Lennox","**__Strobilurus trullisatus__** (Murrill) Lennox","Strobilurus trullisatus  (Murrill) Lennox","Mycotaxon 9(1): 179 (1979)",0,371,NULL,"",NULL,1,"(Murrill) Lennox"," ",0
57,5,"2007-01-10 05:03:40","2017-09-21 20:27:26",1,4833,29744,1087,"2018-08-31 05:46:11",9,"Stereum","Stereum Hill ex Pers.","**__Stereum__** Hill ex Pers.","Stereum  Hill ex Pers.","Persoon, C.H. 1794. Neuer Versuch einer systematischen Eintheilung der Schwämme. Neues Magazin für die Botanik. 1:63-80",0,6516,NULL,"http://www.indexfungorum.org/names/NamesRecord.asp?RecordID=18596
http://fr.mycobank.org/BioloMICS.aspx?Table=Mycobank&Rec=57451&Fields=All
--------------------------------------------------------------------","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Stereaceae_",1,"Hill ex Pers."," ",0
61,2,"2007-01-10 05:03:41","2018-05-31 04:05:45",1,NULL,NULL,155,"2018-06-22 18:03:13",4,"Scleroderma laeve","Scleroderma laeve Lloyd","**__Scleroderma laeve__** Lloyd","Scleroderma laeve  Lloyd",NULL,0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Boletales_
Family: _Sclerodermataceae_",1,"Lloyd"," ",0
63,5,"2007-01-10 05:03:41","2018-09-04 16:42:30",1,23,18499,2802,"2018-09-06 00:22:02",4,"Schizophyllum commune","Schizophyllum commune Fr.","**__Schizophyllum commune__** Fr.","Schizophyllum commune  Fr.","Observ. mycol. (Havniae) 1: 103 (1815) / Fries, E.M. 1821. Systema Mycologicum. 1:1-520",0,2852,NULL,"http://www.indexfungorum.org/names/NamesRecord.asp?RecordID=208403.
http://www.mycobank.org/BioloMICS.aspx?Table=Mycobank&Rec=24763&Fields=All.
------------------------------------------------------------------------","Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Hymenomycetes_
Order: _Schizophyllales_
Family: _Schizophyllaceae_",1,"Fr."," ",0
65,4,"2007-01-10 05:03:41","2016-04-30 16:58:44",1,NULL,94998,603,"2018-09-08 20:48:00",4,"Sarcoscypha coccinea","Sarcoscypha coccinea (Gray) Boud.","**__Sarcoscypha coccinea__** (Gray) Boud.","Sarcoscypha coccinea  (Gray) Boud.","_Bull. Soc. mycol. Fr._ **1**: 103 (1885)",0,619,NULL,"http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=544424",NULL,1,"(Gray) Boud."," ",0
66,3,"2007-01-10 05:03:41","2014-01-01 15:52:49",1,NULL,178900,298,"2018-09-03 18:43:23",4,"Sarcodon subincarnatus","Sarcodon subincarnatus (K.A. Harrison) K.A. Harrison","**__Sarcodon subincarnatus__** (K.A. Harrison) K.A. Harrison","Sarcodon subincarnatus  (K.A. Harrison) K.A. Harrison","Michigan Bot. 23(2): 76 (1984)",0,351,NULL,"",NULL,1,"(K.A. Harrison) K.A. Harrison"," ",0
67,4,"2007-01-10 05:03:41","2010-04-15 01:06:08",1,26,18452,1359,"2018-09-05 23:40:39",4,"Sarcodon squamosus","Sarcodon squamosus (Schaeff.) Quél.","**__Sarcodon squamosus__** (Schaeff.) Quél.","Sarcodon squamosus  (Schaeff.) Quél.","Forh. Vidensk.-Selsk. Kristiania: 188 (1886)",0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Thelephorales_
Family: _Bankeraceae_",1,"(Schaeff.) Quél."," ",0
68,3,"2007-01-10 05:03:41","2013-12-20 04:27:41",1,NULL,177556,557,"2018-09-03 18:35:01",4,"Sarcodon fuscoindicus","Sarcodon fuscoindicus (K.A. Harrison) Maas Geest.","**__Sarcodon fuscoindicus__** (K.A. Harrison) Maas Geest.","Sarcodon fuscoindicus  (K.A. Harrison) Maas Geest.","Persoonia 5(1): 10 (1967)",0,350,NULL,"",NULL,1,"(K.A. Harrison) Maas Geest."," ",0
71,5,"2007-01-10 05:03:41","2010-01-04 13:14:49",2,28,6748,451,"2018-09-09 14:45:11",4,"Russula silvicola","Russula silvicola Z. Schaef.","__Russula silvicola__ Z. Schaef.","Russula silvicola  Z. Schaef.","wrong author citation",1,2794,21200,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Russulaceae_",1,"Z. Schaef."," ",0
72,4,"2007-01-10 05:03:41","2014-01-04 16:28:09",1,29,22557,651,"2018-09-09 19:45:40",4,"Russula sanguinea","Russula sanguinea (Bull.) Fr.","**__Russula sanguinea__** (Bull.) Fr.","Russula sanguinea  (Bull.) Fr.","Epicr. syst. mycol. (Upsaliae): 351 (1838) [1836-1838]",0,349,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Russulaceae_",1,"(Bull.) Fr."," ",0
73,4,"2007-01-10 05:03:41","2009-12-27 15:25:54",1,30,22546,193,"2018-08-27 15:33:14",4,"Russula pelargonia","Russula pelargonia Niolle","**__Russula pelargonia__** Niolle","Russula pelargonia  Niolle","Annls mycol. 39(1): 66 (1941)",0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Russulaceae_",1,"Niolle"," ",0
74,3,"2007-01-10 05:03:41","2009-04-30 01:00:58",1,31,22531,283,"2018-08-30 00:31:10",4,"Russula maculata","Russula maculata Quél. & Roze","**__Russula maculata__** Quél. & Roze","Russula maculata  Quél. & Roze","",0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Russulaceae_",1,"Quél. & Roze"," ",0
76,3,"2007-01-10 05:03:41","2009-04-30 00:37:11",1,32,22522,589,"2018-09-10 00:27:16",4,"Russula fragrantissima","Russula fragrantissima Romagn.","**__Russula fragrantissima__** Romagn.","Russula fragrantissima  Romagn.","",0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Russulaceae_",1,"Romagn."," ",0
77,3,"2007-01-10 05:03:41","2009-04-30 00:22:54",1,33,22517,131,"2018-08-28 22:08:40",4,"Russula farinipes","Russula farinipes Romell","**__Russula farinipes__** Romell","Russula farinipes  Romell","",0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Russulaceae_",1,"Romell"," ",0
